"Area","Sexe","Region Code","Region ISO","Region Name","Number of active people not employed (Unemployed)","Number of active people Occupied","Number of Inactive people","Number of people aged 15 and more in 2014","Unemployment rate of the population in 2014"
"Rural","Female",12,"TN-12","L'Ariana",1171,6564,15612,23347,15.14
"Rural","Female",13,"TN-13","Ben Arous",1243,5156,14926,21325,19.42
"Rural","Female",14,"TN-14","Manouba",2148,6276,26046,34470,25.5
"Rural","Female",15,"TN-21","Nabeul",4096,31554,58730,94380,11.49
"Rural","Female",16,"TN-22","Zaghouan",2611,7705,27801,38117,25.31
"Rural","Female",17,"TN-23","Bizerte",2521,10444,60333,73298,19.44
"Rural","Female",21,"TN-31","Bèja",3390,7039,55130,65559,32.51
"Rural","Female",22,"TN-32","Jendouba",6674,7626,98052,112352,46.67
"Rural","Female",23,"TN-33","Gouvernorat du Kef",1949,5039,34685,41673,27.89
"Rural","Female",24,"TN-34","Siliana",2384,6260,41080,49724,27.58
"Rural","Female",31,"TN-51","Sousse",1997,9946,34984,46927,16.72
"Rural","Female",33,"TN-53","Mahdia",2592,11226,71203,85021,18.76
"Rural","Female",34,"TN-61","Sfax",6793,17306,109642,133741,28.19
"Rural","Female",41,"TN-41","Kairouan",5690,14353,118303,138346,28.39
"Rural","Female",42,"TN-42","Kasserine",4052,7822,78487,90361,34.12
"Rural","Female",43,"TN-43","Sidi Bouzid",5573,19154,94438,119165,22.54
"Rural","Female",51,"TN-81","Gabès",2657,4173,38282,45112,38.9
"Rural","Female",52,"TN-82","Medenine",3403,2650,35911,41964,56.22
"Rural","Female",53,"TN-83","Tataouine",1441,1197,19589,22227,54.62
"Rural","Female",61,"TN-71","Gafsa",2354,4368,26953,33675,35.02
"Rural","Female",62,"TN-72","Tozeur",591,2055,9354,12000,22.34
"Rural","Female",63,"TN-73","Kébili",2490,2861,22447,27798,46.53
"Rural","Male",12,"TN-12","L'Ariana",1302,16046,6807,24155,7.51
"Rural","Male",13,"TN-13","Ben Arous",1725,14109,5986,21820,10.89
"Rural","Male",14,"TN-14","Manouba",2980,21927,10645,35552,11.96
"Rural","Male",15,"TN-21","Nabeul",5406,64045,25530,94981,7.78
"Rural","Male",16,"TN-22","Zaghouan",3909,20322,12758,36989,16.13
"Rural","Male",17,"TN-23","Bizerte",5540,45611,25323,76474,10.83
"Rural","Male",21,"TN-31","Bèja",5504,35587,23923,65014,13.39
